size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
2500,4,6.38,3,,,,,,,,,,,,,,,
3000,4,9.5,3,,,,,,,,,,,,,,,
3200,4,12.79,3,,,,,,,,,,,,,,,
3600,4,16.6,3,,,,,,,,,,,,,,,
3800,4,18.55,3,,,,,,,,,,,,,,,
4200,4,26.91,3,,,,,,,,,,,,,,,
4500,4,31.32,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 8,impl,,,,,,,,,,,,,,,
900,8,0.53,3,,,,,,,,,,,,,,,
1000,8,0.68,3,,,,,,,,,,,,,,,
1100,8,0.85,3,,,,,,,,,,,,,,,
1200,8,1.02,3,,,,,,,,,,,,,,,
1300,8,1.22,3,,,,,,,,,,,,,,,
1400,8,1.43,3,,,,,,,,,,,,,,,
1500,8,1.65,3,,,,,,,,,,,,,,,
1800,8,2.47,3,,,,,,,,,,,,,,,
2300,8,5.18,3,,,,,,,,,,,,,,,
2500,8,6.19,3,,,,,,,,,,,,,,,
3000,8,9.22,3,,,,,,,,,,,,,,,
3200,8,12.42,3,,,,,,,,,,,,,,,
3600,8,16.12,3,,,,,,,,,,,,,,,
3800,8,18.01,3,,,,,,,,,,,,,,,
4200,8,26.14,3,,,,,,,,,,,,,,,
4500,8,30.43,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 10,impl,,,,,,,,,,,,,,,
900,10,0.53,3,,,,,,,,,,,,,,,
1000,10,0.68,3,,,,,,,,,,,,,,,
1100,10,0.84,3,,,,,,,,,,,,,,,
1200,10,1.02,3,,,,,,,,,,,,,,,
1300,10,1.22,3,,,,,,,,,,,,,,,
1400,10,1.43,3,,,,,,,,,,,,,,,
1500,10,1.65,3,,,,,,,,,,,,,,,
1800,10,2.46,3,,,,,,,,,,,,,,,
2300,10,5.17,3,,,,,,,,,,,,,,,
2500,10,6.17,3,,,,,,,,,,,,,,,
3000,10,9.21,3,,,,,,,,,,,,,,,
3200,10,12.39,3,,,,,,,,,,,,,,,
3600,10,16.08,3,,,,,,,,,,,,,,,
3800,10,17.97,3,,,,,,,,,,,,,,,
4200,10,26.07,3,,,,,,,,,,,,,,,
4500,10,30.35,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 12,impl,,,,,,,,,,,,,,,
900,12,0.53,3,,,,,,,,,,,,,,,
1000,12,0.68,3,,,,,,,,,,,,,,,
1100,12,0.84,3,,,,,,,,,,,,,,,
